10826734,"411 ALLARD BOULEVARD SW",143000
10797377,"304-7508 GETTY GATE NW",156500
10838663,"22115 87 AVENUE NW",154500
1276310,"11620 41 AVENUE SW",8468500
10838608,"8017 223 STREET NW",108500
10797416,"421-7508 GETTY GATE NW",214000
10826685,"5204 ANDISON LINK SW",114500
10831499,"1776 DUMONT CRESCENT SW",106500
10838635,"22413 80 AVENUE NW",109500
10826698,"396 ALLARD BOULEVARD SW",102500
10797401,"406-7508 GETTY GATE NW",162000
10838617,"22305 80 AVENUE NW",117000
10838575,"6413 170 AVENUE NW",106500
10797387,"314-7508 GETTY GATE NW",201500
10797380,"307-7508 GETTY GATE NW",153000
10577358,"318-2045 GRANTHAM COURT NW",262500
10831508,"1758 DUMONT CRESCENT SW",106000
10831523,"1797 DUMONT CRESCENT SW",119000
10797397,"402-7508 GETTY GATE NW",212000
10838559,"6412 169 AVENUE NW",118500
10831597,"1737 DUMONT CRESCENT SW",121000
10831546,"1751 DUMONT CRESCENT SW",129500
10838507,"20375 128 AVENUE NW",165500
10838588,"8016 223 STREET NW",129500
10838599,"22412 80 AVENUE NW",121000
10826728,"399 ALLARD BOULEVARD SW",123500
10826701,"390 ALLARD BOULEVARD SW",102500
10838568,"6413 169 AVENUE NW",115500
10831561,"1225 DANIELS CRESCENT SW",131500
10826733,"409 ALLARD BOULEVARD SW",126500
10700519,"2240 GLENRIDDING BOULEVARD SW",132000
10838560,"6410 169 AVENUE NW",119500
10749720,"1190 CY BECKER ROAD NW",176000
10797407,"412-7508 GETTY GATE NW",162500
10797356,"205-7508 GETTY GATE NW",158500
10838661,"22107 87 AVENUE NW",143500
10838641,"8715 221 STREET NW",120000
10838609,"8015 223 STREET NW",117500
10831560,"1227 DANIELS CRESCENT SW",129500
10826708,"376 ALLARD BOULEVARD SW",102000
10797341,"111-7508 GETTY GATE NW",155000
10749718,"1194 CY BECKER ROAD NW",176000
10838622,"22315 80 AVENUE NW",115000
10797343,"113-7508 GETTY GATE NW",202500
10831599,"1247 DANIELS CRESCENT SW",140500
10826727,"397 ALLARD BOULEVARD SW",108000
10831578,"1220 DANIELS CRESCENT SW",123000
10797405,"410-7508 GETTY GATE NW",227500
10838561,"6408 169 AVENUE NW",119500
10797369,"218-7508 GETTY GATE NW",198500
10831517,"1809 DUMONT CRESCENT SW",119000
10838562,"6406 169 AVENUE NW",121000
10831494,"1786 DUMONT CRESCENT SW",106000
10838628,"22327 80 AVENUE NW",110500
10838632,"22407 80 AVENUE NW",109500
10797344,"114-7508 GETTY GATE NW",196000
10831544,"1755 DUMONT CRESCENT SW",114000
10797345,"115-7508 GETTY GATE NW",202000
10838610,"8013 223 STREET NW",117500
10831512,"1750 DUMONT CRESCENT SW",106000
9990820,"4132 ASPEN DRIVE EAST NW",500
10826706,"380 ALLARD BOULEVARD SW",84500
10838591,"22316 80 AVENUE NW",140000
10838633,"22409 80 AVENUE NW",118000
10831528,"1787 DUMONT CRESCENT SW",116500
10831565,"1217 DANIELS CRESCENT SW",140500
10831545,"1753 DUMONT CRESCENT SW",129500
10736625,"21410 114 AVENUE NW",1091000
2326304,"12931 114 STREET NW",422000
10838590,"8008 223 STREET NW",119500
10838648,"8631 221 STREET NW",120000
10831581,"1214 DANIELS CRESCENT SW",122000
8115404,"8605 100 STREET NW",268500
10831511,"1752 DUMONT CRESCENT SW",106000
10826675,"5005 ANDISON CLOSE SW",103500
10831510,"1754 DUMONT CRESCENT SW",106000
10838672,"22124 87 AVENUE NW",133500
2326007,"12947 114 STREET NW",328500
10831573,"1230 DANIELS CRESCENT SW",135500
10831570,"1207 DANIELS CRESCENT SW",131000
10838623,"22317 80 AVENUE NW",110500
4311825,"2634-10770 WINTERBURN ROAD NW",59500
10831567,"1213 DANIELS CRESCENT SW",133500
10838669,"22112 87 AVENUE NW",123500
3794880,"12921 114 STREET NW",500
10826702,"388 ALLARD BOULEVARD SW",102500
10838520,"20450 128 AVENUE NW",1031000
10826678,"5011 ANDISON CLOSE SW",103500
10826712,"368 ALLARD BOULEVARD SW",84000
10838584,"8032 223 STREET NW",129500
10797403,"408-7508 GETTY GATE NW",228000
10826703,"386 ALLARD BOULEVARD SW",85000
10797400,"405-7508 GETTY GATE NW",164500
10797376,"303-7508 GETTY GATE NW",203000
10831527,"1789 DUMONT CRESCENT SW",107500
10838670,"22116 87 AVENUE NW",123500
10838647,"8635 221 STREET NW",120000
10781309,"2302-10238 103 STREET NW",272000
10831502,"1770 DUMONT CRESCENT SW",112500
10831559,"1235 DANIELS CRESCENT SW",113000
10838607,"8019 223 STREET NW",108500
10838650,"8623 221 STREET NW",139000
10838555,"16828 65 STREET NW",165000
10831584,"1208 DANIELS CRESCENT SW",143500
10826694,"404 ALLARD BOULEVARD SW",85000
10831572,"1203 DANIELS CRESCENT SW",124000
10831541,"1761 DUMONT CRESCENT SW",129500
10831535,"1773 DUMONT CRESCENT SW",129500
10838563,"6404 169 AVENUE NW",146000
6880629,"",18000
10826690,"412 ALLARD BOULEVARD SW",100500
10838510,"20363 128 AVENUE NW",162000
10838612,"8009 223 STREET NW",108500
7156300,"7912 109 STREET NW",334000
10826711,"370 ALLARD BOULEVARD SW",101500
10797394,"321-7508 GETTY GATE NW",207500
10831603,"1234 DANIELS CRESCENT SW",128000
10741762,"3506 ALLAN DRIVE SW",1068500
10826691,"410 ALLARD BOULEVARD SW",85000
9222332,"6912 82 AVENUE NW",955000
10797402,"407-7508 GETTY GATE NW",158500
10831816,"3003 184 STREET NW",96000
10838564,"6405 169 AVENUE NW",118500
10838658,"8612 221 STREET NW",140500
10797385,"312-7508 GETTY GATE NW",158000
10728585,"320-320 AMBLESIDE LINK SW",233000
10831577,"1222 DANIELS CRESCENT SW",127000
10838503,"20403 128 AVENUE NW",158000
10398929,"5804 34 STREET NW",1144500
10838587,"8020 223 STREET NW",129500
10831520,"1803 DUMONT CRESCENT SW",119500
9995289,"61-16823 84 STREET NW",244500
10797406,"411-7508 GETTY GATE NW",165000
10831509,"1756 DUMONT CRESCENT SW",112000
10797359,"208-7508 GETTY GATE NW",218500
10797414,"419-7508 GETTY GATE NW",208500
10838574,"6411 170 AVENUE NW",107500
10826687,"2707 ANTON PLACE SW",138500
10797374,"301-7508 GETTY GATE NW",207500
10831587,"1815 DUMONT CRESCENT SW",106500
10826677,"5009 ANDISON CLOSE SW",103500
10788622,"214-18126 77 STREET NW",177500
10831537,"1769 DUMONT CRESCENT SW",129500
10838676,"22140 87 AVENUE NW",137000
10831529,"1785 DUMONT CRESCENT SW",129000
10838585,"8028 223 STREET NW",129500
10838511,"20359 128 AVENUE NW",166000
10838644,"8703 221 STREET NW",120000
10797363,"212-7508 GETTY GATE NW",156500
10826705,"382 ALLARD BOULEVARD SW",102000
10831547,"1749 DUMONT CRESCENT SW",129500
10831501,"1772 DUMONT CRESCENT SW",106500
10838678,"22204 87 AVENUE NW",150000
10826707,"378 ALLARD BOULEVARD SW",102000
10831564,"1219 DANIELS CRESCENT SW",120500
10711940,"5463 ALLBRIGHT SQUARE SW",492500
10838680,"22212 87 AVENUE NW",155500
10838595,"22332 80 AVENUE NW",121000
10797382,"309-7508 GETTY GATE NW",248500
10831549,"1735 DUMONT CRESCENT SW",107500
10797399,"404-7508 GETTY GATE NW",162000
10838657,"8608 221 STREET NW",140000
10831498,"1778 DUMONT CRESCENT SW",106500
10797375,"302-7508 GETTY GATE NW",204000
10838625,"22321 80 AVENUE NW",118000
10838656,"8604 221 STREET NW",137000
10838636,"22415 80 AVENUE NW",110000
10826726,"395 ALLARD BOULEVARD SW",107500
10831600,"1245 DANIELS CRESCENT SW",140000
2326627,"12917 114 STREET NW",335500
10838664,"22119 87 AVENUE NW",143500
10838660,"22103 87 AVENUE NW",165000
10831568,"1211 DANIELS CRESCENT SW",137500
10838645,"8643 221 STREET NW",120000
10838501,"12846 204 STREET NW",216000
10831506,"1762 DUMONT CRESCENT SW",106000
10831606,"1261 DANIELS CRESCENT SW",132000
10831598,"1249 DANIELS CRESCENT SW",141000
10838606,"8021 223 STREET NW",117500
10838505,"20383 128 AVENUE NW",162000
10838630,"22403 80 AVENUE NW",117500
